business_status,,formatted_address,lat,lng,name,place_id,rating,user_ratings_total,phone_number
OPERATIONAL,Smoke/Vape,"3192 Telegraph Rd, St. Louis, MO 63125, United States",38.4972712,-90.2983578,SC Tobacco (D8|Kratom|Vape|Cbd|Cigars),ChIJCcpIZwW32IcRddzjL-qfOUY,4.9,37,(314) 939-1107
OPERATIONAL,Smoke/Vape,"110 Chesterfield Valley Dr, Chesterfield, MO 63005, United States",38.666499,-90.6103028,St. Louis Vapor,ChIJteM6TlvV3ocRn9BlchE0ZMk,4.2,39,(636) 294-2755
OPERATIONAL,Smoke/Vape,"624 Gravois Rd, Fenton, MO 63026, United States",38.5125117,-90.441665,Ultimate Vapor,ChIJefJYAL0x2YcRL_t82eRaVQ0,4.3,46,(636) 496-7156
OPERATIONAL,Smoke/Vape,"7213 Manchester Rd, Maplewood, MO 63143, United States",38.6141579,-90.3144488,Mape Vape,ChIJYZxawYvK2IcR7KeTZLZivGg,4.5,170,(314) 833-5564
OPERATIONAL,Smoke/Vape,"514 N Hwy 67, Florissant, MO 63031, United States",38.7973148,-90.337006,SmokeSafe Premium Vapor Lounge,ChIJVVVVVQ4334cRbgmkgzZNQh4,3.8,44,(314) 736-4136
OPERATIONAL,Smoke/Vape,"2664 S Big Bend Blvd, Maplewood, MO 63143, United States",38.613134,-90.322456,Vaporized,ChIJrf690vXK2IcR2zbfFNZBEwI,4.8,365,(314) 646-8273
OPERATIONAL,Smoke/Vape,"8519 Manchester Rd, Brentwood, MO 63144, United States",38.6125648,-90.3437437,Discount Smoke Shop,ChIJF61MDgfL2IcRZ68de5Zsm9k,4.2,57,NA
OPERATIONAL,Smoke/Vape,"4341 Telegraph Rd, St. Louis, MO 63129, United States",38.48659,-90.304947,Night owl tobacco,ChIJo53sOJXJ2IcR8WpIBNMg6i4,4.1,10,(314) 329-6333
OPERATIONAL,Smoke/Vape,"1604 Flower Valley Shopping Center, 111 N Hwy 67, Florissant, MO 63033, United States",38.8120249,-90.2969968,Studio 420,ChIJ7wlr-g5J34cRtq7pWsBXzXE,4.8,584,(314) 738-9408
OPERATIONAL,Smoke/Vape,"6901 Gravois Ave, St. Louis, MO 63116, United States",38.570168,-90.285468,Area 51 STL,ChIJg_7DG-K12IcRSKZqMQXJ3As,4.6,627,(314) 353-5192
OPERATIONAL,Smoke/Vape,"7927 Forsyth Blvd, St. Louis, MO 63105, United States",38.6504781,-90.3391702,Jon's Pipe Shop,ChIJu09FvCrL2IcRilBglZH93O4,4.7,65,(314) 721-1480
OPERATIONAL,Smoke/Vape,"4028 Butler Hill Rd, St. Louis, MO 63129, United States",38.4848899,-90.3474058,St. Louis Vapor,ChIJqUSlZ53I2IcRm0Q6rE7IZfs,4.5,104,(636) 294-2755
OPERATIONAL,Smoke/Vape,"1612 Jeffco Blvd, Arnold, MO 63010, United States",38.4316274,-90.3788052,M&O Smokeshop,ChIJSxhtC3HF2IcRoMNKWX5Zato,4.5,41,(636) 333-3990
OPERATIONAL,Smoke/Vape,"4340 Loughborough Ave, St. Louis, MO 63116, United States",38.5662795,-90.2786374,Discount Smoke Shop,ChIJEYxxBnW22IcR3Grsvca-buo,4.3,122,(314) 832-4241
OPERATIONAL,Smoke/Vape,"3802 S Lindbergh Blvd Suite 104, St. Louis, MO 63127, United States",38.5498389,-90.4059002,Vapor Maven,ChIJUUAihJTP2IcRmhpruX4PJ2U,4.2,20,(314) 756-2704
OPERATIONAL,Smoke/Vape,"542 Jeffco Blvd, Arnold, MO 63010, United States",38.4514762,-90.3630583,STL Tobacco & Vape,ChIJl4zx9zjI2IcRivf_u4oZNoM,4.3,58,(636) 333-2668
OPERATIONAL,Smoke/Vape,"4875 Mexico Rd, St Peters, MO 63376, United States",38.7918822,-90.5873144,Smoke Smart,ChIJDWaZnHTR2IcRbkvhdDeLT1U,4.7,474,(636) 477-6031
OPERATIONAL,Dispensary,"10425 Watson Rd, St. Louis, MO 63127, United States",38.5561038,-90.4040327,High Profile of St. Louis Dispensary,ChIJFWWROaDP2IcRfF-FgQuQmcA,4.8,119,(314) 353-9922
OPERATIONAL,Dispensary,"839 Meramec Station Road, Valley Park, MO 63088, United States",38.5660756,-90.4956256,3Fifteen Primo Cannabis Valley Park,ChIJActaK4zR2IcRkhfoa1kfevo,4.9,164,(314) 924-0101
OPERATIONAL,Dispensary,"9933 Watson Rd, St. Louis, MO 63126, United States",38.5567418,-90.3952584,Proper Cannabis,ChIJH2N8HKrP2IcR7rGNAV8uh-U,4.9,77,(314) 834-1579
OPERATIONAL,Dispensary,"1266 Old Orch Ctr, Manchester, MO 63021, United States",38.592535,-90.4968172,N'Bliss Dispensary - Manchester,ChIJMTW1V77T2IcRUPWodpxy_hE,4.3,192,(314) 627-2499
OPERATIONAL,Dispensary,"14173 Manchester Rd Suite M, Manchester, MO 63011, United States",38.5939098,-90.4985174,Kind Goods Recreational Dispensary - Manchester,ChIJrzPWup7T2IcRVrwKdD5xsDI,4.8,110,(636) 484-9400
OPERATIONAL,Dispensary,"15396 Manchester Rd, Ellisville, MO 63021, United States",38.591915,-90.5618948,N'Bliss Dispensary - Ellisville,ChIJkfNna3zV2IcRLYpN5KvJWW8,4.5,94,(314) 627-2699
OPERATIONAL,Dispensary,"11062 Olive Blvd Suite A, Creve Coeur, MO 63141, United States",38.6733219,-90.4239547,Terrabis Medical and Recreational Marijuana Dispensary Creve Coeur,ChIJcxguI7Mz34cRiqmPKaOu6Hg,4.7,137,(314) 944-0240
OPERATIONAL,Dispensary,"5501 Chippewa St, St. Louis, MO 63109, United States",38.5928572,-90.2860531,3Fifteen Primo Cannabis St. Louis,ChIJVa-goTm12IcRuWCW0mSyYvc,4.8,224,(314) 330-2118
OPERATIONAL,Dispensary,"7555 Olive Blvd, University City, MO 63130, United States",38.6724152,-90.3339219,Star Buds Marijuana Dispensary University City,ChIJZXnGdIU134cR-jKg7URof8A,4.7,329,(314) 335-7928
OPERATIONAL,Dispensary,"7417 S Lindbergh Blvd, St. Louis, MO 63125, United States",38.505742,-90.324756,Proper Cannabis,ChIJaVynH0HJ2IcRF2ZYzKHtMuw,4.8,332,(314) 328-0446
OPERATIONAL,Dispensary,"6662 Delmar Blvd Suite A, University City, MO 63130, United States",38.656016,-90.3081571,JANE Dispensary Delmar,ChIJv-_Y0Vw134cRNHJix5jUO1w,4.8,362,(314) 464-4420
OPERATIONAL,Dispensary,"6660 Manchester Ave, St. Louis, MO 63139, United States",38.618453,-90.3021645,Root 66 Dogtown,ChIJMy2U06zL2IcRkM8ABD_pKCo,4.7,118,(314) 282-7978
OPERATIONAL,Dispensary,"2093 Smizer Station Rd, Valley Park, MO 63088, United States",38.5371648,-90.4950612,Bloc Dispensary Valley Park,ChIJfX6pNVLR2IcRcgYQNW3n688,4.7,270,(636) 681-3110
OPERATIONAL,Dispensary,"4108 Manchester Ave, St. Louis, MO 63110, United States",38.6275269,-90.2506828,Swade Dispensary The Grove (Recreational),ChIJkySbOQHL2IcRKi3P5C6v2_U,4.6,158,(314) 924-6503
OPERATIONAL,Dispensary,"6497 Chippewa St, St. Louis, MO 63109, United States",38.5928984,-90.3016415,Greenlight Marijuana Dispensary Chippewa,ChIJuWjYrXXK2IcRh-2GZd4sMeM,4.7,141,(844) 785-9333
OPERATIONAL,Dispensary,"105 N Lindbergh Blvd, Creve Coeur, MO 63141, United States",38.6553552,-90.4057811,HomeState Dispensary,ChIJ4U7zoekz34cRuq2N0RZhhfM,4.7,23,(314) 900-1660
OPERATIONAL,Dispensary,"11420 Concord Village Ave, St. Louis, MO 63123, United States",38.5245171,-90.3549181,Organic Remedies Dispensary,ChIJJTH1IUzJ2IcRMDUtpiEfqbQ,4.5,124,(314) 834-0420
OPERATIONAL,Dispensary,"6166 Delmar Blvd, St. Louis, MO 63112, United States",38.6551579,-90.2984869,SWADE Dispensary Delmar (Recreational),ChIJO5JXgO9L34cRONeO0QAZ-ZE,4.8,94,(314) 924-6502
OPERATIONAL,Dispensary,"16075 Manchester Rd, Ellisville, MO 63011, United States",38.5910641,-90.5949288,SWADE Dispensary Ellisville,ChIJWe-MeqzV2IcR2r_GE9GMe7I,4.7,110,(314) 924-6501
OPERATIONAL,Dispensary,"5519 S Lindbergh Blvd, St. Louis, MO 63123, United States",38.5240006,-90.3573365,Good Day Farm Lindbergh,ChIJVwa_O5vJ2IcRGj9j3Jq_2Xo,4.7,219,(314) 729-7059
OPERATIONAL,Dispensary,"1463a S Vandeventer Ave, St. Louis, MO 63110, United States",38.6240844,-90.2541373,Luxury Leaf Marijuana Dispensary,ChIJd3NR3--12IcRt0GpxlOfSGA,4.8,129,(314) 887-6761
OPERATIONAL,Dispensary,"180 Gravois Bluffs Cir Dr B, Fenton, MO 63026, United States",38.5025243,-90.4449997,Kind Goods Recreational Dispensary - Fenton,ChIJ4YAF-pXP2IcRtgdV3wajfeQ,4.8,251,(636) 492-6400
OPERATIONAL,Dispensary,"1026 S Brentwood Blvd, Richmond Heights, MO 63117, United States",38.6369551,-90.3455018,Bloc Dispensary Richmond Heights,ChIJtX0_UbrL2IcRMkC7IK-nCis,4.8,238,(314) 866-5777
OPERATIONAL,Dispensary,"20 S Euclid Ave, St. Louis, MO 63108, United States",38.6395624,-90.2620592,Good Day Farm St. Louis,ChIJ33hUHli12IcR04PeesvfdZU,4.6,118,(816) 313-5505
OPERATIONAL,Dispensary,"517 S Florissant Rd, Ferguson, MO 63135, United States",38.7369596,-90.3024164,Greenlight Marijuana Dispensary Ferguson,ChIJJUIkZDs334cR-R26lgR9MsQ,4.8,375,(844) 785-9333
OPERATIONAL,Dispensary,"6407 Michigan Ave, St. Louis, MO 63111, United States",38.5578105,-90.2514646,Sunrise Dispensary,ChIJ8XigM4a32IcRmOTqvB8awuE,4.8,74,(314) 353-9817
OPERATIONAL,Dispensary,"2316 Cherokee St, St. Louis, MO 63118, United States",38.5929997,-90.2249242,SWADE Dispensary Cherokee (Recreational),ChIJ-TntJKO12IcRrKg5L-G440k,4.7,124,(314) 924-6504
OPERATIONAL,Dispensary,"4451 Brown Rd, Berkeley, MO 63134, United States",38.7284473,-90.3451511,Greenlight Marijuana Dispensary Berkeley Airport,ChIJm-HfcEw134cRfmRsnK3tUU0,4.7,275,(844) 785-9333
OPERATIONAL,Dispensary,"3 Walters Pl, House Springs, MO 63051, United States",38.4132537,-90.5789794,N'Bliss Dispensary - House Springs,ChIJrQPTXgPZ2IcR0aqM7LPt9l8,4.7,220,(314) 627-2566
OPERATIONAL,Dispensary,"11088 New Halls Ferry Road, Florissant, MO 63033, United States",38.7733879,-90.2691497,Cookies St. Louis,ChIJj6TP7cVJ34cRyfMD-glraOA,4.7,319,(314) 882-2569
OPERATIONAL,Dispensary,"859 Robert Raymond Dr, Lake St Louis, MO 63367, United States",38.7709072,-90.7821649,The Source Cannabis - Lake Saint Louis,ChIJOz0-f0LP3ocRFku5RVBeBc0,4.5,131,(636) 355-9333
OPERATIONAL,Dispensary,"3737 S Grand Blvd, St. Louis, MO 63118, United States",38.5890819,-90.2446171,Root 66 S Grand,ChIJuzzHa_S12IcRGkdmLBGHhKI,4.7,168,(314) 257-0816
OPERATIONAL,Dispensary,"444 Howdershell Rd, Florissant, MO 63031, United States",38.8047561,-90.3612334,Feel State Dispensary - Florissant,ChIJYSoMUxY334cRy9UDMbFJVwc,5,1058,(314) 254-0044
OPERATIONAL,Dispensary,"14856 Clayton Rd, Chesterfield, MO 63017, United States",38.6153641,-90.5379578,The Green Dragon CBD,ChIJp6H0wzDV2IcRPKPMjM-bQnA,4.9,210,(636) 220-7278
OPERATIONAL,Dispensary,"10417A St Charles Rock Rd, St Ann, MO 63074, United States",38.730148,-90.3802795,Heya - St. Ann,ChIJr6CJajQz34cRdqceB8wfBUU,4.8,259,(314) 656-6362
OPERATIONAL,Dispensary,"108 Hilltop Village Center Dr, Eureka, MO 63025, United States",38.5060494,-90.6431359,HomeState Dispensary,ChIJTVy_lTgp2YcR3n6Z-FyJu8U,4.8,32,(636) 536-0055
OPERATIONAL,Dispensary,"234 Kingston Dr, St. Louis, MO 63125, United States",38.5180157,-90.2814218,Nature Med Dispensary - St. Louis,ChIJzQJRh2C32IcR7u0Nw2a2ohw,4.9,356,(314) 939-1076
OPERATIONAL,Dispensary,"7766 N Lindbergh Blvd, Hazelwood, MO 63042, United States",38.786738,-90.3499604,Terrabis Medical and Recreational Marijuana Dispensary Hazelwood,ChIJOytMoGU334cRfpnLdj7uPBI,4.8,232,(314) 942-0935
OPERATIONAL,Dispensary,"17409 - G, 17409 Chesterfield Airport Rd Suite B, Chesterfield, MO 63005, United States",38.6688209,-90.6082629,"Hippos Marijuana Dispensary - Chesterfield, MO",ChIJL77E5NvV3ocRzKlDlIonh6M,4.8,286,(314) 655-4520
OPERATIONAL,Dispensary,"111 W Port Plaza Dr Suite 600, St. Louis, MO 63146, United States",38.7012862,-90.446331,Missouri Medical Marijuana Clinic / Medical Marijuana Card / Cannabis Card,ChIJX-bR2c8z34cRR54kgakgAe4,5,1,(314) 802-1551
OPERATIONAL,Dispensary,"3899 Veterans Memorial Pkwy suite J, St Peters, MO 63376, United States",38.7913245,-90.5643623,Kind Goods Recreational Dispensary - St.Peter's,ChIJbarqwpop34cR3pzhORlHpsA,4.7,215,(636) 626-2300
OPERATIONAL,Dispensary,"1709 Hwy Z, Pevely, MO 63070, United States",38.2895622,-90.4043884,North Dispensary Pevely,ChIJqQTYBq_p2IcRDtR4dhz4wKw,4.8,204,(636) 224-2885
OPERATIONAL,Dispensary,"3004 S St Peters Pkwy, St Charles, MO 63303, United States",38.7498416,-90.5642602,Root 66 St. Peters,ChIJG8LlOsIp34cR1FX-u9VPPO0,4.8,258,(636) 373-8329
OPERATIONAL,Dispensary,"2317 Cherokee St, St. Louis, MO 63118, United States",38.5933055,-90.2249185,Primero Cannabis Clinics,ChIJC-2WGs-12IcRj9eroK5nRcQ,5,4,(314) 833-3303
OPERATIONAL,Dispensary,"4300 N Service Rd, St Peters, MO 63376, United States",38.7985582,-90.5831666,Heya Wellness-St Peters,ChIJBQO5dM4p34cREUvywiUY8NA,4.7,88,(636) 706-5286
OPERATIONAL,Dispensary,"2060 Village Lane STE 101, Hermann, MO 65041, United States",38.6835317,-91.4511801,Cannabist Hermann,ChIJt13LdgAJ3IcRfidRsDoPYmU,4.4,18,(573) 212-4062
OPERATIONAL,Dispensary,"3636 S Geyer Rd #100, Sappington, MO 63127, United States",38.5532952,-90.4153899,Missouri Medical Marijuana Clinic / Medical Marijuana Card / Cannabis Card,ChIJFZAs8P7P2IcRu0yNw9oNkqo,5,3,(314) 802-1551
OPERATIONAL,Dispensary,"1172 W Terra Ln, O'Fallon, MO 63366, United States",38.8042426,-90.7326775,Terrabis Medical and Recreational Marijuana Dispensary O'Fallon,ChIJl20xNanR3ocRHrgFUIZUUx8,4.6,221,(636) 695-8369
OPERATIONAL,Dispensary,"109 N Lincoln Dr STE-E, Troy, MO 63379, United States",38.9852129,-90.9703185,Green Releaf Marijuana Dispensary,ChIJW0L3wNmV3ocRg0u2cPFPZig,4.8,429,(636) 775-2708
OPERATIONAL,Dispensary,"1416 Harvestowne Ind Dr, St Charles, MO 63304, United States",38.7414379,-90.6072316,High Profile of St. Charles Dispensary,ChIJeXTuG_PX3ocRRN-f50E1a6g,4.5,272,(636) 224-6033
OPERATIONAL,Dispensary,"1140 Technology Dr, O'Fallon, MO 63368, United States",38.7156686,-90.7041946,Good Day Farm O'Fallon,ChIJ00EG-nHT3ocR3KrecoGHV4U,4.8,139,(636) 317-1184
OPERATIONAL,Dispensary,"106 Four Seasons Shopping Center Suite 110, Chesterfield, MO 63017, United States",38.6790177,-90.5029707,Medical Cannabis Outreach,ChIJLb3oBiEt34cRuDpHZxH6ido,0,0,(636) 638-5577
OPERATIONAL,Dispensary,"1401 Mississippi Ave Suite 17, Sauget, IL 62201, United States",38.6033592,-90.1744155,Beyond Hello Dispensary (St. Louis Metro East),ChIJS0vk7H-z2IcR9fN1oet9fgw,4.3,906,(618) 874-9800
OPERATIONAL,Dispensary,"2001 Olive St, St. Louis, MO 63103, United States",38.6322742,-90.2085308,Viola,ChIJdVFVStiz2IcRbRchKnuc_1U,4.6,12,NA
OPERATIONAL,Dispensary,"231 St Robert Blvd, St Robert, MO 65584, United States",37.8258557,-92.158186,High Profile of St Robert Dispensary,ChIJVbT3GHvd2ocRW0yknid0kJk,4.8,156,(573) 586-4208
OPERATIONAL,Dispensary,"6411 Hampton Ave, St. Louis, MO 63109, United States",38.574862,-90.2949789,The Silver Tuna CBD,ChIJh39vS-S12IcRdyNsW_H-eZ4,5,3,(314) 553-9955
CLOSED_TEMPORARILY,Dispensary,"8542 N Broadway, St. Louis, MO 63147, United States",38.7185603,-90.2288639,Greenlight Medical Marijuana Dispensary St. Louis City,ChIJ5QRgohBL34cRQBjvC_ojrCs,4.7,144,(844) 785-9333
